Time:   2200.000	RMSD(LF):   0.351	encoding: XSMEYWF
Time:   2202.000	RMSD(LF):   0.260	encoding: XTCLYNH
Time:   2204.000	RMSD(LF):   0.345	encoding: WSEBXNH
Time:   2206.000	RMSD(LF):   0.289	encoding: XRMQYNI
Time:   2208.000	RMSD(LF):   0.382	encoding: XTAQYVO
Time:   2210.000	RMSD(LF):   0.308	encoding: WNLQYTC
Time:   2212.000	RMSD(LF):   0.292	encoding: XWLMYVO
Time:   2214.000	RMSD(LF):   0.279	encoding: XNJMYTO
Time:   2216.000	RMSD(LF):   0.346	encoding: XRJQYTC
Time:   2218.000	RMSD(LF):   0.318	encoding: YSMMYTC
Time:   2220.000	RMSD(LF):   0.283	encoding: XSMMYTH
Time:   2222.000	RMSD(LF):   0.295	encoding: XSAMYTF
Time:   2224.000	RMSD(LF):   0.297	encoding: XRLMYNJ
Time:   2226.000	RMSD(LF):   0.278	encoding: XRCMYTF
Time:   2228.000	RMSD(LF):   0.325	encoding: WQLMYWF
Time:   2230.000	RMSD(LF):   0.363	encoding: NQGQYNI
Time:   2232.000	RMSD(LF):   0.266	encoding: WMLQYWF
Time:   2234.000	RMSD(LF):   0.297	encoding: WQMQYNI
Time:   2236.000	RMSD(LF):   0.361	encoding: XQMQYTO
Time:   2238.000	RMSD(LF):   0.282	encoding: XRFMYNH
Time:   2240.000	RMSD(LF):   0.338	encoding: XSMMYNH
Time:   2242.000	RMSD(LF):   0.335	encoding: XTMMYTF
Time:   2244.000	RMSD(LF):   0.318	encoding: XRCEXNH
Time:   2246.000	RMSD(LF):   0.355	encoding: XTQMYNH
Time:   2248.000	RMSD(LF):   0.243	encoding: WRMMYNH
Time:   2250.000	RMSD(LF):   0.309	encoding: WQMQYTF
Time:   2252.000	RMSD(LF):   0.307	encoding: XQIQYNH
Time:   2254.000	RMSD(LF):   0.336	encoding: XQEQYVC
Time:   2256.000	RMSD(LF):   0.376	encoding: XQMMYWD
Time:   2258.000	RMSD(LF):   0.308	encoding: XQLMYTF
Time:   2260.000	RMSD(LF):   0.302	encoding: XQLQYNK
Time:   2262.000	RMSD(LF):   0.366	encoding: XMEQXNI
Time:   2264.000	RMSD(LF):   0.333	encoding: XMMQYNF
Time:   2266.000	RMSD(LF):   0.275	encoding: XRAMYTJ
Time:   2268.000	RMSD(LF):   0.279	encoding: XTLQYTL
Time:   2270.000	RMSD(LF):   0.362	encoding: WRCLYTK
Time:   2272.000	RMSD(LF):   0.239	encoding: XTMQYVL
Time:   2274.000	RMSD(LF):   0.302	encoding: XTFLPTF
Time:   2276.000	RMSD(LF):   0.277	encoding: XTEMYTO
Time:   2278.000	RMSD(LF):   0.332	encoding: XTLMYNK
Time:   2280.000	RMSD(LF):   0.318	encoding: WSMMYTK
Time:   2282.000	RMSD(LF):   0.295	encoding: WSLMYTK
Time:   2284.000	RMSD(LF):   0.279	encoding: XTCMYTF
Time:   2286.000	RMSD(LF):   0.325	encoding: XTLMYTF
Time:   2288.000	RMSD(LF):   0.327	encoding: XTMMYTC
Time:   2290.000	RMSD(LF):   0.275	encoding: XTMMYTF
Time:   2292.000	RMSD(LF):   0.293	encoding: XTMMYNH
Time:   2294.000	RMSD(LF):   0.279	encoding: XRLMYTF
Time:   2296.000	RMSD(LF):   0.419	encoding: XTLQXUL
Time:   2298.000	RMSD(LF):   0.299	encoding: WTLMYTO
Time:   2300.000	RMSD(LF):   0.292	encoding: XTLLYTH
Time:   2302.000	RMSD(LF):   0.297	encoding: XRLMYTL
Time:   2304.000	RMSD(LF):   0.291	encoding: YSLMYTF
Time:   2306.000	RMSD(LF):   0.269	encoding: XRMMYNH
Time:   2308.000	RMSD(LF):   0.285	encoding: XSMQYWF
Time:   2310.000	RMSD(LF):   0.320	encoding: XEJMYNH
Time:   2312.000	RMSD(LF):   0.248	encoding: WQMQYWF
Time:   2314.000	RMSD(LF):   0.307	encoding: TMLQYNH
Time:   2316.000	RMSD(LF):   0.302	encoding: VEIMYNH
Time:   2318.000	RMSD(LF):   0.295	encoding: WMMQYWF
Time:   2320.000	RMSD(LF):   0.287	encoding: XQMMYWF
Time:   2322.000	RMSD(LF):   0.251	encoding: XRMQYNI
Time:   2324.000	RMSD(LF):   0.373	encoding: XTLMYNF
Time:   2326.000	RMSD(LF):   0.284	encoding: XSMMYNH
Time:   2328.000	RMSD(LF):   0.226	encoding: XSMMYTJ
Time:   2330.000	RMSD(LF):   0.301	encoding: XQMMYTH
Time:   2332.000	RMSD(LF):   0.288	encoding: XQEMYNF
Time:   2334.000	RMSD(LF):   0.314	encoding: XQLQYNH
Time:   2336.000	RMSD(LF):   0.267	encoding: WQMQYWJ
Time:   2338.000	RMSD(LF):   0.313	encoding: XQMMYNH
Time:   2340.000	RMSD(LF):   0.335	encoding: WQAMYTC
Time:   2342.000	RMSD(LF):   0.366	encoding: RLCQYNF
Time:   2344.000	RMSD(LF):   0.285	encoding: WEMRYTC
Time:   2346.000	RMSD(LF):   0.306	encoding: XQMMYNH
Time:   2348.000	RMSD(LF):   0.275	encoding: XQMQYTF
Time:   2350.000	RMSD(LF):   0.305	encoding: WTCLYNH
Time:   2352.000	RMSD(LF):   0.321	encoding: XRLMYNH
Time:   2354.000	RMSD(LF):   0.269	encoding: XTMLYTF
Time:   2356.000	RMSD(LF):   0.253	encoding: XNJMYTJ
Time:   2358.000	RMSD(LF):   0.344	encoding: XSMQYTC
Time:   2360.000	RMSD(LF):   0.329	encoding: WSCLYTK
Time:   2362.000	RMSD(LF):   0.293	encoding: XRCMYNF
Time:   2364.000	RMSD(LF):   0.253	encoding: YSMMYTO
Time:   2366.000	RMSD(LF):   0.338	encoding: XTLMYNI
Time:   2368.000	RMSD(LF):   0.310	encoding: XRCMYTF
Time:   2370.000	RMSD(LF):   0.304	encoding: XTMMYTP
Time:   2372.000	RMSD(LF):   0.299	encoding: XTLMYSJ
Time:   2374.000	RMSD(LF):   0.280	encoding: XTCLYTH
Time:   2376.000	RMSD(LF):   0.306	encoding: XTLMYTJ
Time:   2378.000	RMSD(LF):   0.314	encoding: XSLMYNH
Time:   2380.000	RMSD(LF):   0.285	encoding: XTMLYTH
Time:   2382.000	RMSD(LF):   0.276	encoding: XRLMYTF
Time:   2384.000	RMSD(LF):   0.301	encoding: XRLMYTF
Time:   2386.000	RMSD(LF):   0.332	encoding: XSALYNK
