Time:   5400.000	RMSD(LF):   0.315	encoding: XQMMYNF
Time:   5402.000	RMSD(LF):   0.291	encoding: RMLQPNK
Time:   5404.000	RMSD(LF):   0.232	encoding: WMLQYNH
Time:   5406.000	RMSD(LF):   0.340	encoding: NMAQYWJ
Time:   5408.000	RMSD(LF):   0.317	encoding: TMMQYNF
Time:   5410.000	RMSD(LF):   0.322	encoding: UQLQYWJ
Time:   5412.000	RMSD(LF):   0.283	encoding: TMCQYNH
Time:   5414.000	RMSD(LF):   0.351	encoding: TEGQYTJ
Time:   5416.000	RMSD(LF):   0.261	encoding: XQLQYNK
Time:   5418.000	RMSD(LF):   0.279	encoding: XQMRPTC
Time:   5420.000	RMSD(LF):   0.379	encoding: XQDQYNI
Time:   5422.000	RMSD(LF):   0.288	encoding: XRMQYTF
Time:   5424.000	RMSD(LF):   0.226	encoding: XQLQYNK
Time:   5426.000	RMSD(LF):   0.318	encoding: XRMMYSJ
Time:   5428.000	RMSD(LF):   0.322	encoding: XSCMYTF
Time:   5430.000	RMSD(LF):   0.342	encoding: XRQIYTF
Time:   5432.000	RMSD(LF):   0.434	encoding: WNBXYRH
Time:   5434.000	RMSD(LF):   0.333	encoding: WNBXYRH
Time:   5436.000	RMSD(LF):   0.334	encoding: XNBHYRF
Time:   5438.000	RMSD(LF):   0.274	encoding: UNBXYRF
Time:   5440.000	RMSD(LF):   0.371	encoding: XNBKYRI
Time:   5442.000	RMSD(LF):   0.324	encoding: XTEHYTF
Time:   5444.000	RMSD(LF):   0.336	encoding: WTEHYTD
Time:   5446.000	RMSD(LF):   0.383	encoding: XREHYTC
Time:   5448.000	RMSD(LF):   0.369	encoding: XNBHYTC
Time:   5450.000	RMSD(LF):   0.412	encoding: WRQIXTF
Time:   5452.000	RMSD(LF):   0.371	encoding: XREHYTF
Time:   5454.000	RMSD(LF):   0.430	encoding: XNEHYTF
Time:   5456.000	RMSD(LF):   0.385	encoding: WNGHYRD
Time:   5458.000	RMSD(LF):   0.405	encoding: NHBKYRM
Time:   5460.000	RMSD(LF):   0.410	encoding: XHBHXRM
Time:   5462.000	RMSD(LF):   0.403	encoding: NHQHYSC
Time:   5464.000	RMSD(LF):   0.443	encoding: NKDKYTD
Time:   5466.000	RMSD(LF):   0.400	encoding: NKQHYTE
Time:   5468.000	RMSD(LF):   0.368	encoding: NFQHXVM
Time:   5470.000	RMSD(LF):   0.362	encoding: NHAHXWC
Time:   5472.000	RMSD(LF):   0.356	encoding: NFEHXTM
Time:   5474.000	RMSD(LF):   0.389	encoding: NHEHYTM
Time:   5476.000	RMSD(LF):   0.319	encoding: NHEHXTM
Time:   5478.000	RMSD(LF):   0.361	encoding: NHEHYSM
Time:   5480.000	RMSD(LF):   0.333	encoding: NHEHYTM
Time:   5482.000	RMSD(LF):   0.352	encoding: NIEHYTM
Time:   5484.000	RMSD(LF):   0.378	encoding: QMQHYTM
Time:   5486.000	RMSD(LF):   0.363	encoding: RMEHYSE
Time:   5488.000	RMSD(LF):   0.333	encoding: RAEHYSM
Time:   5490.000	RMSD(LF):   0.303	encoding: RFBHYRL
