Time:   5600.000	RMSD(LF):   0.287	encoding: WWRXPNH
Time:   5602.000	RMSD(LF):   0.322	encoding: UWRVPNK
Time:   5604.000	RMSD(LF):   0.378	encoding: XWRTPNK
Time:   5606.000	RMSD(LF):   0.425	encoding: XWRTPNX
Time:   5608.000	RMSD(LF):   0.282	encoding: UWSVPNH
Time:   5610.000	RMSD(LF):   0.339	encoding: XWRVPNX
Time:   5612.000	RMSD(LF):   0.400	encoding: XWRTYYN
Time:   5614.000	RMSD(LF):   0.400	encoding: XWQXYNH
Time:   5616.000	RMSD(LF):   0.392	encoding: XWRTPNX
Time:   5618.000	RMSD(LF):   0.381	encoding: XWRTPNK
Time:   5620.000	RMSD(LF):   0.369	encoding: UWRTYNX
Time:   5622.000	RMSD(LF):   0.439	encoding: WURTYNN
Time:   5624.000	RMSD(LF):   0.379	encoding: XWRXYNX
Time:   5626.000	RMSD(LF):   0.410	encoding: XWQWPNH
Time:   5628.000	RMSD(LF):   0.348	encoding: WWBYYSO
Time:   5630.000	RMSD(LF):   0.355	encoding: XTQDXUF
Time:   5632.000	RMSD(LF):   0.355	encoding: XTEFXVC
Time:   5634.000	RMSD(LF):   0.386	encoding: XSQHXVC
Time:   5636.000	RMSD(LF):   0.422	encoding: XNEKYRJ
Time:   5638.000	RMSD(LF):   0.383	encoding: XNBXYRH
Time:   5640.000	RMSD(LF):   0.367	encoding: XNEXYRK
Time:   5642.000	RMSD(LF):   0.387	encoding: WNBXYRF
Time:   5644.000	RMSD(LF):   0.375	encoding: XNEHYTF
Time:   5646.000	RMSD(LF):   0.346	encoding: XREHYTJ
Time:   5648.000	RMSD(LF):   0.355	encoding: XNEHYSF
Time:   5650.000	RMSD(LF):   0.327	encoding: WTEHYTF
Time:   5652.000	RMSD(LF):   0.326	encoding: XNGXYRH
Time:   5654.000	RMSD(LF):   0.456	encoding: XNBHYNI
Time:   5656.000	RMSD(LF):   0.325	encoding: UNBHYRF
Time:   5658.000	RMSD(LF):   0.436	encoding: XNBKYRI
Time:   5660.000	RMSD(LF):   0.320	encoding: WNEHYSL
Time:   5662.000	RMSD(LF):   0.412	encoding: WNBHYNI
Time:   5664.000	RMSD(LF):   0.449	encoding: XURTYNX
Time:   5666.000	RMSD(LF):   0.314	encoding: XWRVYNH
Time:   5668.000	RMSD(LF):   0.339	encoding: UWRTPNX
Time:   5670.000	RMSD(LF):   0.315	encoding: XWRXPNK
Time:   5672.000	RMSD(LF):   0.366	encoding: UWSTPNX
Time:   5674.000	RMSD(LF):   0.300	encoding: WWQXPRH
Time:   5676.000	RMSD(LF):   0.313	encoding: XWMWPTH
Time:   5678.000	RMSD(LF):   0.263	encoding: XWMXYRH
Time:   5680.000	RMSD(LF):   0.373	encoding: XNEXYNH
Time:   5682.000	RMSD(LF):   0.463	encoding: UWRTPNX
Time:   5684.000	RMSD(LF):   0.395	encoding: XURTPNK
Time:   5686.000	RMSD(LF):   0.357	encoding: UWQXPNH
Time:   5688.000	RMSD(LF):   0.236	encoding: XNBXYRF
Time:   5690.000	RMSD(LF):   0.421	encoding: XNBKYSC
Time:   5692.000	RMSD(LF):   0.385	encoding: NNEHYTC
Time:   5694.000	RMSD(LF):   0.469	encoding: XREHYWC
Time:   5696.000	RMSD(LF):   0.307	encoding: XTEHYTC
Time:   5698.000	RMSD(LF):   0.299	encoding: WNGXYRH
Time:   5700.000	RMSD(LF):   0.313	encoding: XNBXYRH
Time:   5702.000	RMSD(LF):   0.416	encoding: XNBXYRF
Time:   5704.000	RMSD(LF):   0.392	encoding: XTEKYRF
Time:   5706.000	RMSD(LF):   0.418	encoding: WNBXYRH
Time:   5708.000	RMSD(LF):   0.373	encoding: XNBKYRF
Time:   5710.000	RMSD(LF):   0.410	encoding: XNBHYRF
Time:   5712.000	RMSD(LF):   0.310	encoding: WNBKYRF
Time:   5714.000	RMSD(LF):   0.404	encoding: XNEKYRH
Time:   5716.000	RMSD(LF):   0.406	encoding: WNEHYNI
Time:   5718.000	RMSD(LF):   0.441	encoding: XNBXYRI
Time:   5720.000	RMSD(LF):   0.338	encoding: XREHYTF
Time:   5722.000	RMSD(LF):   0.308	encoding: WNBHXNF
Time:   5724.000	RMSD(LF):   0.308	encoding: XNEHYWF
Time:   5726.000	RMSD(LF):   0.443	encoding: YREHYTC
Time:   5728.000	RMSD(LF):   0.401	encoding: XREHYTC
Time:   5730.000	RMSD(LF):   0.333	encoding: XNBHYTO
Time:   5732.000	RMSD(LF):   0.400	encoding: YRQHYTC
Time:   5734.000	RMSD(LF):   0.315	encoding: XSQFYTO
Time:   5736.000	RMSD(LF):   0.348	encoding: XTEHYTF
Time:   5738.000	RMSD(LF):   0.305	encoding: WSQHYTO
Time:   5740.000	RMSD(LF):   0.345	encoding: YTQHYTO
Time:   5742.000	RMSD(LF):   0.357	encoding: YSQIYSF
Time:   5744.000	RMSD(LF):   0.352	encoding: NTEIYTF
Time:   5746.000	RMSD(LF):   0.288	encoding: WTMMYNK
Time:   5748.000	RMSD(LF):   0.371	encoding: XNKQYWJ
Time:   5750.000	RMSD(LF):   0.308	encoding: WTMMYVO
Time:   5752.000	RMSD(LF):   0.327	encoding: XTQIYTF
Time:   5754.000	RMSD(LF):   0.306	encoding: XTEHYTC
Time:   5756.000	RMSD(LF):   0.376	encoding: WXEHYTF
Time:   5758.000	RMSD(LF):   0.340	encoding: WTEHYTF
Time:   5760.000	RMSD(LF):   0.211	encoding: WWDKYRH
Time:   5762.000	RMSD(LF):   0.265	encoding: XNAHXVO
Time:   5764.000	RMSD(LF):   0.319	encoding: XWDHYRF
Time:   5766.000	RMSD(LF):   0.336	encoding: XNBHYTF
Time:   5768.000	RMSD(LF):   0.301	encoding: XNBHYRJ
Time:   5770.000	RMSD(LF):   0.289	encoding: WWDFXTO
Time:   5772.000	RMSD(LF):   0.273	encoding: XNGHYRF
Time:   5774.000	RMSD(LF):   0.250	encoding: WNAFXTO
Time:   5776.000	RMSD(LF):   0.317	encoding: UWDHYTF
Time:   5778.000	RMSD(LF):   0.293	encoding: WNAHXTJ
Time:   5780.000	RMSD(LF):   0.292	encoding: XNDFXVF
Time:   5782.000	RMSD(LF):   0.286	encoding: UWAHYSO
Time:   5784.000	RMSD(LF):   0.294	encoding: WTDHYTO
Time:   5786.000	RMSD(LF):   0.279	encoding: XTDHYRH
