Time:   9600.000	RMSD(LF):   0.295	encoding: QCLPXRC
Time:   9602.000	RMSD(LF):   0.263	encoding: QAMPXTQ
Time:   9604.000	RMSD(LF):   0.296	encoding: EIMYYRL
Time:   9606.000	RMSD(LF):   0.284	encoding: ELMPXTM
Time:   9608.000	RMSD(LF):   0.294	encoding: EFMPXTC
Time:   9610.000	RMSD(LF):   0.326	encoding: MMMKXNB
Time:   9612.000	RMSD(LF):   0.311	encoding: EILYXRI
Time:   9614.000	RMSD(LF):   0.307	encoding: MMMPXRA
Time:   9616.000	RMSD(LF):   0.215	encoding: MCLPWNI
Time:   9618.000	RMSD(LF):   0.320	encoding: LLMPXRA
Time:   9620.000	RMSD(LF):   0.305	encoding: QAMPXTE
Time:   9622.000	RMSD(LF):   0.375	encoding: EGAPXRA
Time:   9624.000	RMSD(LF):   0.355	encoding: MCMPXRC
Time:   9626.000	RMSD(LF):   0.325	encoding: EGMPXRM
Time:   9628.000	RMSD(LF):   0.267	encoding: MAMPXTA
Time:   9630.000	RMSD(LF):   0.329	encoding: MLMKXRG
Time:   9632.000	RMSD(LF):   0.375	encoding: MLMPXTA
Time:   9634.000	RMSD(LF):   0.317	encoding: EIMYXSC
Time:   9636.000	RMSD(LF):   0.297	encoding: EAMPXRA
Time:   9638.000	RMSD(LF):   0.403	encoding: EDGPXRD
Time:   9640.000	RMSD(LF):   0.290	encoding: MCMPXTQ
Time:   9642.000	RMSD(LF):   0.350	encoding: BJMPXRG
Time:   9644.000	RMSD(LF):   0.292	encoding: QCLPWNC
Time:   9646.000	RMSD(LF):   0.324	encoding: QMMKXRA
Time:   9648.000	RMSD(LF):   0.301	encoding: MFLPXRI
Time:   9650.000	RMSD(LF):   0.331	encoding: QGLPXRA
Time:   9652.000	RMSD(LF):   0.325	encoding: MLLPWRC
Time:   9654.000	RMSD(LF):   0.354	encoding: MLMPXSL
Time:   9656.000	RMSD(LF):   0.370	encoding: EIMYXNI
Time:   9658.000	RMSD(LF):   0.260	encoding: QDMPXVM
Time:   9660.000	RMSD(LF):   0.393	encoding: EIMPXRG
Time:   9662.000	RMSD(LF):   0.327	encoding: MCMPXTM
Time:   9664.000	RMSD(LF):   0.335	encoding: QGMPXRA
Time:   9666.000	RMSD(LF):   0.281	encoding: EDGPXNB
Time:   9668.000	RMSD(LF):   0.256	encoding: ECMPWNL
Time:   9670.000	RMSD(LF):   0.236	encoding: MCMHXNG
Time:   9672.000	RMSD(LF):   0.221	encoding: EAMOUNG
Time:   9674.000	RMSD(LF):   0.307	encoding: MLMPXSL
Time:   9676.000	RMSD(LF):   0.350	encoding: EMMYXSA
Time:   9678.000	RMSD(LF):   0.265	encoding: QLMPXNG
Time:   9680.000	RMSD(LF):   0.360	encoding: MMMYYSC
Time:   9682.000	RMSD(LF):   0.284	encoding: MDLPXTA
Time:   9684.000	RMSD(LF):   0.367	encoding: BJMPXRI
Time:   9686.000	RMSD(LF):   0.308	encoding: QAMKXTM
Time:   9688.000	RMSD(LF):   0.311	encoding: EILPXND
Time:   9690.000	RMSD(LF):   0.317	encoding: MLMPXTM
Time:   9692.000	RMSD(LF):   0.279	encoding: LLMPXNL
Time:   9694.000	RMSD(LF):   0.415	encoding: EJMPWNI
Time:   9696.000	RMSD(LF):   0.269	encoding: MDMOXNB
Time:   9698.000	RMSD(LF):   0.297	encoding: ECLPXNI
Time:   9700.000	RMSD(LF):   0.317	encoding: EMMPUVM
Time:   9702.000	RMSD(LF):   0.281	encoding: QGLPWRC
Time:   9704.000	RMSD(LF):   0.268	encoding: GCMPWTM
Time:   9706.000	RMSD(LF):   0.311	encoding: QGMYXRL
Time:   9708.000	RMSD(LF):   0.324	encoding: EGJYXSD
Time:   9710.000	RMSD(LF):   0.283	encoding: MLMPXRD
Time:   9712.000	RMSD(LF):   0.293	encoding: EMMPWRA
Time:   9714.000	RMSD(LF):   0.289	encoding: MLMPXRG
Time:   9716.000	RMSD(LF):   0.318	encoding: QGLYWRD
Time:   9718.000	RMSD(LF):   0.252	encoding: EFMYYRF
Time:   9720.000	RMSD(LF):   0.273	encoding: QGMPXNB
Time:   9722.000	RMSD(LF):   0.349	encoding: MJMYYSC
Time:   9724.000	RMSD(LF):   0.310	encoding: QAMPXTM
Time:   9726.000	RMSD(LF):   0.289	encoding: ECMPWTC
Time:   9728.000	RMSD(LF):   0.311	encoding: QGMPXTM
Time:   9730.000	RMSD(LF):   0.326	encoding: BDLPXTC
Time:   9732.000	RMSD(LF):   0.326	encoding: EGMYXSM
Time:   9734.000	RMSD(LF):   0.303	encoding: MLMPXRA
Time:   9736.000	RMSD(LF):   0.350	encoding: QMMPXTD
Time:   9738.000	RMSD(LF):   0.265	encoding: QILPWNI
Time:   9740.000	RMSD(LF):   0.293	encoding: QALPXRD
Time:   9742.000	RMSD(LF):   0.307	encoding: QIMPXRL
Time:   9744.000	RMSD(LF):   0.319	encoding: MMMPXTB
Time:   9746.000	RMSD(LF):   0.332	encoding: EJMPXNI
Time:   9748.000	RMSD(LF):   0.251	encoding: MLMPXTM
Time:   9750.000	RMSD(LF):   0.347	encoding: EGMYXRD
Time:   9752.000	RMSD(LF):   0.342	encoding: EGLPXNG
Time:   9754.000	RMSD(LF):   0.262	encoding: QCMPXTM
Time:   9756.000	RMSD(LF):   0.313	encoding: MLMPXRL
Time:   9758.000	RMSD(LF):   0.249	encoding: MCMHXNG
Time:   9760.000	RMSD(LF):   0.338	encoding: EGMPXRA
Time:   9762.000	RMSD(LF):   0.236	encoding: MLMPXNG
Time:   9764.000	RMSD(LF):   0.287	encoding: ECLYXRC
Time:   9766.000	RMSD(LF):   0.263	encoding: EGMPXNA
Time:   9768.000	RMSD(LF):   0.379	encoding: MCMPXRA
Time:   9770.000	RMSD(LF):   0.276	encoding: MLMPXNG
Time:   9772.000	RMSD(LF):   0.300	encoding: EILPXNI
Time:   9774.000	RMSD(LF):   0.369	encoding: MMLPWTA
