1,2,3,4,5,6
1.45E-02,1.62E-02,1.65E-02,3.92E-02,5.32E-02,9.45E-02
1.08E-01,1.61E-01,1.97E-01,1.75E-01,1.79E-01,1.80E-01
2.63E-02,2.22E-02,2.22E-02,2.09E-02,1.90E-02,3.38E-02
2.51E-02,3.57E-02,3.15E-02,3.00E-02,6.50E-02,9.02E-02
1.50E-01,1.41E-01,1.37E-01,1.23E-01,1.33E-01,1.23E-01
1.98E-01,1.60E-01,1.44E-01,1.27E-01,1.20E-01,1.08E-01
6.83E-02,6.36E-02,5.94E-02,6.10E-02,5.96E-02,7.43E-02
2.57E-02,4.08E-02,3.63E-02,7.25E-02,7.55E-02,6.98E-02
2.54E-02,3.21E-02,3.14E-02,2.80E-02,4.51E-02,4.63E-02
8.07E-02,6.93E-02,7.72E-02,7.45E-02,6.70E-02,6.10E-02
1.66E-01,1.48E-01,1.28E-01,1.43E-01,1.62E-01,1.68E-01
4.41E-01,4.82E-01,5.11E-01,5.36E-01,5.50E-01,5.68E-01
5.43E-02,7.45E-02,7.44E-02,7.55E-02,6.86E-02,7.09E-02
5.52E-02,5.13E-02,4.61E-02,6.08E-02,7.22E-02,6.53E-02
1.45E-01,1.77E-01,1.59E-01,1.97E-01,1.89E-01,1.70E-01
1.24E-01,1.12E-01,9.96E-02,8.95E-02,7.94E-02,8.03E-02
4.59E-01,4.90E-01,5.22E-01,5.46E-01,5.57E-01,5.78E-01
4.41E-04,3.23E-03,1.50E-02,1.39E-02,1.29E-02,2.01E-02
3.22E-01,3.74E-01,3.71E-01,3.35E-01,3.58E-01,3.72E-01
1.39E-01,1.13E-01,1.01E-01,9.38E-02,1.29E-01,1.30E-01
3.59E-02,3.26E-02,2.84E-02,3.87E-02,4.71E-02,4.33E-02
9.59E-02,9.29E-02,8.65E-02,7.94E-02,7.18E-02,7.07E-02
1.56E-01,1.70E-01,2.08E-01,2.56E-01,2.28E-01,2.45E-01
5.56E-03,9.90E-03,3.94E-02,5.00E-02,4.42E-02,5.32E-02
2.05E-01,1.89E-01,1.68E-01,1.55E-01,1.84E-01,1.73E-01
1.13E-01,1.62E-01,1.71E-01,1.63E-01,1.58E-01,1.45E-01
4.00E-01,3.30E-01,2.77E-01,2.39E-01,2.09E-01,2.48E-01
9.41E-02,8.73E-02,8.10E-02,7.51E-02,8.14E-02,8.71E-02
1.19E-01,1.07E-01,9.34E-02,8.55E-02,8.35E-02,7.93E-02
1.42E-02,2.46E-02,2.25E-02,3.51E-02,3.14E-02,3.43E-02
1.99E-01,1.84E-01,1.57E-01,1.47E-01,1.52E-01,1.40E-01
9.33E-05,1.88E-02,5.74E-02,7.57E-02,6.98E-02,8.25E-02
4.65E-01,3.62E-01,3.21E-01,3.52E-01,3.85E-01,3.77E-01
1.29E-01,1.10E-01,9.84E-02,8.81E-02,8.03E-02,1.13E-01
4.84E-03,2.33E-02,2.16E-02,2.92E-02,2.81E-02,3.38E-02
8.96E-03,2.56E-02,4.26E-02,4.00E-02,3.84E-02,3.91E-02
2.23E-02,2.45E-02,2.23E-02,2.44E-02,5.33E-02,4.93E-02
5.08E-03,9.11E-03,1.38E-02,1.23E-02,3.40E-02,3.30E-02
2.77E-01,2.34E-01,2.16E-01,1.89E-01,1.98E-01,2.00E-01
3.37E-01,3.26E-01,2.77E-01,2.42E-01,2.12E-01,2.00E-01
2.21E-01,2.19E-01,2.31E-01,2.42E-01,2.59E-01,2.62E-01
4.63E-02,4.34E-02,4.30E-02,6.64E-02,6.34E-02,6.98E-02
1.46E-01,1.38E-01,1.28E-01,1.38E-01,1.55E-01,1.40E-01
2.90E-01,3.39E-01,3.76E-01,4.12E-01,3.88E-01,4.01E-01
1.97E-01,2.06E-01,2.06E-01,2.09E-01,2.18E-01,2.22E-01
9.44E-03,1.21E-02,5.79E-02,5.26E-02,7.83E-02,7.22E-02
1.27E-01,1.09E-01,1.05E-01,1.17E-01,1.12E-01,1.05E-01
4.82E-02,6.29E-02,5.53E-02,7.87E-02,7.79E-02,6.97E-02
2.74E-01,2.35E-01,2.15E-01,1.86E-01,1.65E-01,1.51E-01
2.11E-01,1.97E-01,1.72E-01,1.65E-01,1.47E-01,1.63E-01
